PLAYER_NAME,TEAM_ABBREVIATION,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,Pos
Pascal Siakam,IND,0.599,0.274,0.261,5.9,17.6,11.8,15.7,1.3,1.5,7.6,24.2,2.2,-0.5,1.7,SG
Pat Connaughton,MIL,0.567,0.458,0.175,3.6,15.6,9.8,15.8,0.7,1.7,11.2,15.6,-1.4,-0.8,-2.3,PF
Pat Spencer,GSW,0.455,0.218,0.149,6.3,13.7,9.9,28.1,2.7,1.1,14.3,21.2,-3,1.4,-1.6,PG
Patrick Baldwin Jr.,LAC,0.721,0.657,0.114,4.8,19.7,12.3,4.6,1.3,1.7,12,16.4,2.4,-0.9,1.5,SG
Patrick Williams,CHI,0.512,0.527,0.161,2.9,12.7,7.9,10.3,1.4,1.8,13.5,16.9,-3,-0.7,-3.7,PF
Patty Mills,LAC,0.543,0.781,0.146,1.4,6,3.7,11.1,1.9,0.9,14.3,15.6,-3.2,0,-3.2,PF
Paul George,PHI,0.543,0.47,0.17,2,17.2,9.3,20.9,2.8,1.5,14.7,23.5,-0.5,0.1,-0.4,SF
Paul Reed,DET,0.573,0.197,0.296,10.2,20.8,15.6,14,4.3,5.4,13.9,18,-1.2,4,2.9,SF
Payton Pritchard,BOS,0.633,0.723,0.097,4.9,9.8,7.3,18.1,1.5,0.6,8.4,19,3.4,0.2,3.5,SG
Pelle Larsson,MIA,0.546,0.468,0.3,4,9,6.5,11.6,2,0.9,9.5,14.4,-3.8,0.7,-3.1,C
Peyton Watson,DEN,0.564,0.318,0.32,3.3,11.8,7.7,7,1.4,5,10.3,13.9,-2.1,0.3,-1.8,SG
Precious Achiuwa,NYK,0.53,0.11,0.211,10,21,15.5,6.2,2,3.3,11.2,14.9,-2.1,0.2,-1.9,SG
Quentin Grimes,PHI,0.595,0.512,0.26,3.2,14.7,8.9,17.7,1.8,1,13.3,22.8,1.3,-0.9,0.4,PG
Quenton Jackson,IND,0.58,0.328,0.328,4.1,8.7,6.4,18.6,2.6,1.2,10.3,17.7,-1.2,0.8,-0.3,SF
Quinten Post,GSW,0.595,0.653,0.099,5.3,18.3,11.6,12.2,1.1,2.5,10.3,19.6,0.1,0,0.1,PG
Rayan Rupert,POR,0.499,0.415,0.211,6,10.6,8.2,7.6,1.7,0.8,16.2,16.8,-4.1,-0.6,-4.7,C
Reece Beekman,BKN,0.4,0.374,0.196,3,6.6,4.7,19.1,3.5,0.4,15.3,12.8,-6.7,1.3,-5.4,SG
Reed Sheppard,HOU,0.465,0.594,0.067,2.6,10.3,6.4,15.2,2.6,2.3,13.1,17.8,-3,1.3,-1.7,C
