Player,Age,Team,Pos,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP
Cui Yongxi,21,BRK,SG,0.19,0.429,0,23.8,11.4,0,0,0,0,34.4,-16.8,-8.2,-24.9,-0.1
Cade Cunningham,23,DET,PG,0.565,0.287,2.5,16.5,9.6,43,1.4,2.1,16,33.2,3.8,0.1,3.9,3.7
Seth Curry,34,CHO,SG,0.616,0.531,2.4,9.1,5.7,8.8,1.3,0.6,8.2,15.7,-0.8,-0.9,-1.7,0.1
Stephen Curry,36,GSW,PG,0.618,0.623,1.9,13.3,7.4,31.3,1.7,1.3,12.6,29.8,6.4,0,6.3,4.8
Tristan Da Silva,23,ORL,SF,0.522,0.495,4.9,12.7,8.6,10.3,1,1.1,9.9,15.2,-2.3,-0.3,-2.6,-0.3
Pacôme Dadiet,19,NYK,SG,0.446,0.613,3.1,15.4,9.3,5.6,1.3,1.7,10.6,14.7,-4.9,-1.5,-6.5,-0.1
Dyson Daniels,21,ATL,SG,0.545,0.255,5.1,14.2,9.6,17.9,4.2,2,13.6,18.2,-1.1,2.6,1.5,2.3
N'Faly Dante,23,HOU,C,0.789,0,12.3,32,21.9,5.7,1,8.8,11.6,13.9,0.7,1.7,2.4,0.1
Anthony Davis,31,2TM,C,0.588,0.136,9.1,29.1,19.4,18.3,1.7,6,9.5,30.4,3.9,1.5,5.4,3.2
Johnny Davis,22,WAS,SG,0.473,0.372,4.3,12.1,8.2,6.6,2.9,2.2,7.6,15.9,-3.5,0.7,-2.8,0
Terence Davis,27,SAC,SG,0,0.5,0,14,7,14.1,0,0,0,10.8,-12.8,-4.1,-16.9,0
JD Davison,22,BOS,PG,0.445,0.529,2.3,12.8,7.6,19.1,2.7,1,26,23.6,-5.9,-0.3,-6.2,-0.1
RayJ Dennis,23,IND,PG,0.443,0.636,3.2,15.8,9.6,26.9,4.8,2.6,12.9,24,-2.2,3,0.7,0
DeMar DeRozan,35,SAC,SF,0.569,0.196,2,10.1,6,18.7,1.1,1.1,6.5,25,1.2,-1.2,-0.1,1.3
