PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,Pos
Xavier Tillman,BOS,26,33,7,1,1.3,0.2,0.3,0.2,0.4,0.245,0.156,0.75,-0.4,79,245,2020,2,35,0.31,0.604,0.075,4.7,15.5,10.1,3.8,2.4,2,20.4,13.1,-8.4,0.3,-8.1,SF
Yuki Kawamura,MEM,24,22,4.2,1.6,0.5,0.9,0.1,0,0.2,0.367,0.304,0.778,1.2,68,159,Undrafted,Undrafted,Undrafted,0.53,0.767,0.3,0,13.5,6.8,25.1,1,0,12.8,16.9,-2.6,-0.2,-2.8,PF
Yves Missi,NOP,21,73,26.8,9.1,8.2,1.4,0.5,1.3,1.1,0.547,0,0.623,-7,83,235,2024,1,21,0.572,0.002,0.415,13.7,19.7,16.6,7.2,0.9,4.8,12.4,14.3,-1.6,-1.4,-3,PG
Zaccharie Risacher,ATL,20,75,24.6,12.6,3.6,1.2,0.7,0.5,1.2,0.458,0.355,0.711,-1.6,80,200,2024,1,1,0.558,0.442,0.191,5,11.1,8,7.1,1.3,1.8,9.8,20.9,-1.7,-1.8,-3.5,PF
Zach Collins,CHI,27,64,15.3,6.4,4.5,1.7,0.5,0.5,0.9,0.507,0.302,0.885,-0.5,83,250,2017,1,10,0.605,0.351,0.258,11.1,19.9,15.6,15.6,1.4,2.6,15.1,17.1,-0.8,0.8,0,C
Zach Edey,MEM,23,66,21.5,9.2,8.3,1,0.5,1.3,1.3,0.58,0.346,0.709,2.5,88,305,2024,1,9,0.624,0.12,0.293,17.5,23.4,20.5,6.1,1.2,5.5,15.3,16.4,-0.2,0.1,-0.1,PG
Zach LaVine,SAC,30,74,35.2,23.3,4.3,4.2,0.8,0.2,2.8,0.511,0.446,0.825,-0.9,77,200,2014,1,13,0.639,0.438,0.233,0.9,12,6.5,18.3,1.1,0.4,13.4,25.3,2.3,-1.6,0.7,SG
Zeke Nnaji,DEN,24,57,10.7,3.2,1.6,0.4,0.4,0.7,0.2,0.496,0.327,0.614,-0.4,81,240,2020,1,22,0.574,0.369,0.312,6.3,9.8,8.1,4.6,2,5.6,8,12.2,-2.1,0.7,-1.3,C
Ziaire Williams,BKN,23,63,24.5,10,4.6,1.3,1,0.4,1.1,0.412,0.341,0.821,-5.2,81,185,2021,1,10,0.55,0.581,0.237,4.3,17.5,10.6,8.5,2,1.8,10.5,18.2,-2.2,-0.1,-2.3,SF
Zion Williamson,NOP,24,30,28.6,24.6,7.2,5.3,1.2,0.9,3,0.567,0.231,0.656,-1.4,78,284,2019,1,1,0.6,0.026,0.474,9.3,18.2,13.6,36.6,2.1,3,12.8,34.7,5.9,1,7,PF
